"job_group","badge","company_name","title","deadline","address_main","address_total","experience","education","employment_type","salary","tech_stack","createdAt","crawledAt","url","description"
"Python, 머신러닝, 데이터엔지니어, 백엔드/서버개발, 앱개발 외                    수정일 24/12/12","마케팅·홍보·조사 지원 TOP100","롯데손해보험(주)","신입사원 채용공고","~ 12/19(목)","서울  중구","서울  중구","신입","대졸↑","정규직","","Python, 머신러닝, 데이터엔지니어, 백엔드/서버개발, 앱개발","2024-12-17T10:40:01.601Z","2024-12-17T10:40:01.601Z","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49568890&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=6d68b33d-8db2-4c9f-a4dc-832537795ec6",""
"Python, C++, Java, AWS, 솔루션 외                    수정일 24/12/17","기획·전략 지원 급상승","(주)푸드테크","㈜푸드테크 하반기 신입/경력 전부문 채용","~ 12/31(화)","서울  강남구","서울  강남구","신입·경력","초대졸↑","정규직","","Python, C++, Java, AWS, 솔루션","2024-12-17T10:40:01.602Z","2024-12-17T10:40:01.602Z","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49525316&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=6d68b33d-8db2-4c9f-a4dc-832537795ec6",""
"Python, C++, 솔루션, 백엔드/서버개발, SE(시스템엔지니어) 외                    수정일 24/12/12","연봉상승률 15% 이상","(주)원익로보틱스","전 부문 채용","~ 12/31(화)","경기  성남시 분당구","경기  성남시 분당구","신입·경력","초대졸↑","정규직","","Python, C++, 솔루션, 백엔드/서버개발, SE(시스템엔지니어)","2024-12-17T10:40:01.603Z","2024-12-17T10:40:01.603Z","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49561788&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=6d68b33d-8db2-4c9f-a4dc-832537795ec6",""
"Python, C++, Java, 딥러닝, AWS 외                    수정일 24/12/11","상품기획·MD 지원 TOP100","(주)티엑스알로보틱스","2024년 하반기 상시채용 모집","~ 12/22(일)","경기  부천시","경기  부천시","경력무관","학력무관","정규직","","Python, C++, Java, 딥러닝, AWS","2024-12-17T10:40:01.604Z","2024-12-17T10:40:01.604Z","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49424016&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=6d68b33d-8db2-4c9f-a4dc-832537795ec6",""
"Python, Java, AWS, 솔루션, 머신러닝 외                    수정일 24/12/16","인기있는","(주)휴머스온","2025년도 휴머스온 대규모 채용 상반기 SW/Biz 공채 경력공채","~ 01/01(수)","서울  강남구","서울  강남구","신입·경력","대졸↑","정규직·인턴직","","Python, Java, AWS, 솔루션, 머신러닝","2024-12-17T10:40:01.605Z","2024-12-17T10:40:01.605Z","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49593871&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=6d68b33d-8db2-4c9f-a4dc-832537795ec6",""
"Python, Java, 솔루션, 웹개발, 데이터분석가 외                    수정일 24/12/17","마케팅·홍보·조사 지원 TOP100","동아출판(주)","동아출판㈜ 2024년 12월 경력사원 채용","~ 12/29(일)","서울  영등포구","서울  영등포구","경력","대졸↑","정규직·계약직","","Python, Java, 솔루션, 웹개발, 데이터분석가","2024-12-17T10:40:01.605Z","2024-12-17T10:40:01.605Z","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49582206&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=6d68b33d-8db2-4c9f-a4dc-832537795ec6",""
"Python, Java, 딥러닝, 머신러닝, 빅데이터 외                    등록일 24/12/16","인기있는","(주)더원테크","[인턴 모집] 빅데이터 와 인공지능 AI 프로그램 개발 인턴 모집","~ 01/15(수)","서울  금천구","서울  금천구","경력무관","대졸↑","정규직·인턴직","230 만원","Python, Java, 딥러닝, 머신러닝, 빅데이터","2024-12-17T10:40:01.606Z","2024-12-17T10:40:01.606Z","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49595451&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=6d68b33d-8db2-4c9f-a4dc-832537795ec6",""
"Python, 웹개발, 앱개발, 프론트엔드, SI개발 외                    수정일 24/11/19","상품기획·MD 지원 TOP100","(주)라이프스타일프로젝트","LSP 하반기 신입/경력 채용","상시채용","서울  강남구","서울  강남구","신입·경력","학력무관","정규직","","Python, 웹개발, 앱개발, 프론트엔드, SI개발","2024-12-17T10:40:01.606Z","2024-12-17T10:40:01.606Z","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49286279&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=6d68b33d-8db2-4c9f-a4dc-832537795ec6",""
"C++, 솔루션, Linux, C#, CentOS 외                    수정일 24/12/05","구매·자재·물류 지원 급상승","캐논코리아 주식회사","캐논코리아 각 부문 채용(본사/안산사업소)","~ 12/31(화)","서울  강남구","서울  강남구","경력","초대졸↑","정규직","","C++, 솔루션, Linux, C#, CentOS","2024-12-17T10:40:01.607Z","2024-12-17T10:40:01.607Z","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49536402&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=6d68b33d-8db2-4c9f-a4dc-832537795ec6",""
"C++, 머신러닝, Linux, 유지보수, 퍼블리셔 외                    수정일 24/12/06","의료 지원 TOP100","(주)디알텍","2024년 신입 및 경력 채용","~ 12/31(화)","경기  성남시 분당구","경기  성남시 분당구","신입·경력","고졸↑","정규직","","C++, 머신러닝, Linux, 유지보수, 퍼블리셔","2024-12-17T10:40:04.519Z","2024-12-17T10:40:04.519Z","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49507897&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=9418c733-81ad-4289-9c35-a878b66990a3",""
